"player_id","player_nm","mp","poss","pts","diff","poss2","pts2","poss3","pts3","possft","ptsft","poss2_rim","pts2_rim","poss2_other","pts2_other","tot_fta"
"a/abrinal01","Alex Abrines",1055,360,400,40,94,80,247,282,19,38,39,38,55,42,49
"a/acyqu01","Quincy Acy",558,196,222,26,79,66,91,111,26,45,32,36,47,30,60
"a/acyqu01","Quincy Acy",510,196,222,26,79,66,91,111,26,45,32,36,47,30,60
"a/adamsst01","Steven Adams",2389,766,905,139,652,748,2,0,112,157,343,466,309,282,257
"a/afflaar01","Arron Afflalo",1580,456,506,50,268,246,151,186,37,74,35,42,233,204,93
"a/ajincal01","Alexis Ajinca",584,194,207,13,174,178,4,0,16,29,56,82,118,96,40
"a/aldrico01","Cole Aldrich",531,95,105,10,86,90,0,0,9,15,48,62,38,28,22
"a/aldrila01","LaMarcus Aldridge",2335,1175,1242,67,993,954,56,69,126,219,213,298,780,656,271
"a/allenla01","Lavoy Allen",871,183,177,-6,167,154,1,0,15,23,54,66,113,88,33
"a/allento01","Tony Allen",1914,653,643,-10,541,518,54,45,58,80,347,402,194,116,130
"a/aminual01","Al-Farouq Aminu",1773,527,532,5,253,226,213,210,61,96,141,148,112,78,136
"a/anderch01","Chris Andersen",114,29,28,-1,19,18,3,0,7,10,14,14,5,4,14
"a/anderal01","Alan Anderson",308,86,86,0,36,32,44,42,6,12,11,20,25,12,16
"a/anderju01","Justin Anderson",1228,494,532,38,243,256,193,174,58,102,132,190,111,66,129
"a/anderju01","Justin Anderson",710,494,532,38,243,256,193,174,58,102,132,190,111,66,129
"a/anderju01","Justin Anderson",518,494,532,38,243,256,193,174,58,102,132,190,111,66,129
"a/anderky01","Kyle Anderson",1020,236,246,10,169,156,40,45,27,45,64,78,105,78,57
"a/anderry01","Ryan Anderson",2116,841,980,139,266,238,508,615,67,127,102,116,164,122,150
"a/antetgi01","Giannis Antetokounmpo",2845,1531,1831,300,1077,1214,180,147,274,470,599,854,478,360,612
"a/anthoca01","Carmelo Anthony",2538,1543,1643,100,969,902,420,453,154,288,163,184,806,718,365
"a/anthojo01","Joel Anthony",122,20,25,5,16,20,0,0,4,5,9,14,7,6,8
"a/arizatr01","Trevor Ariza",2773,851,935,84,243,272,553,570,55,93,146,198,97,74,126
"a/arthuda01","Darrell Arthur",639,224,262,38,98,84,117,159,9,19,27,32,71,52,22
"a/asikom01","Omer Asik",482,81,83,2,64,60,0,0,17,23,55,58,9,2,39
"a/augusdj01","D.J. Augustin",1538,587,613,26,243,200,274,285,70,128,70,68,173,132,161
"b/babbilu01","Luke Babbitt",1065,288,323,35,71,52,210,261,7,10,10,4,61,48,15
"b/bakerro01","Ron Baker",857,236,215,-21,133,118,84,69,19,28,68,78,65,40,43
"b/baldwwa01","Wade Baldwin",405,132,106,-26,92,66,22,9,18,31,39,34,53,32,37
"b/barbole01","Leandro Barbosa",963,411,416,5,295,274,98,105,18,37,111,138,184,136,45
"b/bareajo01","J.J. Barea",771,366,380,14,195,178,148,159,23,43,44,52,151,126,51
"b/barneha02","Harrison Barnes",2803,1401,1513,112,1059,1042,221,234,121,237,212,300,847,742,281
"b/barnema02","Matt Barnes",1777,515,526,11,211,196,263,261,41,69,93,110,118,86,89
"b/barnema02","Matt Barnes",1367,515,526,11,211,196,263,261,41,69,93,110,118,86,89
"b/barnema02","Matt Barnes",410,515,526,11,211,196,263,261,41,69,93,110,118,86,89
"b/bartowi01","Will Barton",1705,746,815,69,432,416,235,261,79,138,182,212,250,204,190
"b/bassbr01","Brandon Bass",577,223,292,69,183,212,3,3,37,77,90,132,93,80,88
"b/batumni01","Nicolas Batum",2617,1077,1139,62,570,516,405,405,102,218,106,138,464,378,284
"b/baynear01","Aron Baynes",1163,323,365,42,279,286,0,0,44,79,134,156,145,130,94
"b/bazemke01","Kent Bazemore",1963,800,801,1,456,406,267,276,77,119,174,206,282,200,168
"b/bealbr01","Bradley Beal",2684,1456,1751,295,769,828,553,669,134,254,274,360,495,468,342
"b/beaslma01","Malik Beasley",165,78,83,5,45,48,28,27,5,8,28,36,17,12,10
"b/beaslmi01","Michael Beasley",935,450,528,78,362,396,43,54,45,78,105,154,257,242,105
"b/belinma01","Marco Belinelli",1778,682,773,91,333,324,282,306,67,143,73,98,260,226,168
"b/bembrde01","DeAndre' Bembry",371,104,101,-3,80,92,18,3,6,6,52,70,28,22,16
"b/bendedr01","Dragan Bender",574,165,146,-19,60,58,101,84,4,4,31,36,29,22,11
"b/bennean01","Anthony Bennett",264,109,115,6,44,50,48,39,17,26,32,44,12,6,36
"b/bertada01","Davis Bertans",808,247,303,56,61,68,173,207,13,28,32,48,29,20,34
"b/beverpa01","Patrick Beverley",2058,585,639,54,256,236,287,330,42,73,97,108,159,128,95
"b/biyombi01","Bismack Biyombo",1793,449,483,34,341,358,0,0,108,125,174,242,167,116,234
"b/bjeline01","Nemanja Bjelica",1190,383,403,20,180,190,177,168,26,45,89,110,91,80,61
"b/blackta01","Tarik Black",1091,339,383,44,291,298,2,3,46,82,179,224,112,74,109
"b/bledser01","Eric Bledsoe",2176,1225,1376,151,728,690,309,312,188,374,260,324,468,366,458
"b/bogdabo02","Bojan Bogdanovic",2083,945,1101,156,453,464,392,432,100,205,223,278,230,186,243
"b/bogdabo02","Bojan Bogdanovic",1482,945,1101,156,453,464,392,432,100,205,223,278,230,186,243
"b/bogdabo02","Bojan Bogdanovic",601,945,1101,156,453,464,392,432,100,205,223,278,230,186,243
"b/bogutan01","Andrew Bogut",583,86,79,-7,80,76,1,0,5,3,37,42,43,34,11
"b/bogutan01","Andrew Bogut",582,86,79,-7,80,76,1,0,5,3,37,42,43,34,11
"b/bookede01","Devin Booker",2730,1615,1719,104,1025,918,405,441,185,360,254,302,771,616,441
"b/booketr01","Trevor Booker",1754,636,709,73,512,560,78,75,46,74,227,304,285,256,110
"b/bradlav01","Avery Bradley",1835,813,890,77,498,502,277,324,38,64,182,240,316,262,93
"b/breweco01","Corey Brewer",1281,377,371,-6,230,240,118,81,29,50,123,158,107,82,68
"b/breweco01","Corey Brewer",923,377,371,-6,230,240,118,81,29,50,123,158,107,82,68
"b/breweco01","Corey Brewer",358,377,371,-6,230,240,118,81,29,50,123,158,107,82,68
"b/brogdma01","Malcolm Brogdon",1982,686,762,76,442,424,191,234,53,104,239,280,203,144,126
"b/brookaa01","Aaron Brooks",894,317,322,5,172,146,128,144,17,32,46,44,126,102,40
"b/brownan02","Anthony Brown",159,50,43,-7,23,22,27,21,0,0,6,6,17,16,0
"b/brownan02","Anthony Brown",143,50,43,-7,23,22,27,21,0,0,6,6,17,16,0
"b/brownbo02","Bobby Brown",123,61,62,1,25,18,35,42,1,2,4,2,21,16,2
"b/brownja02","Jaylen Brown",1341,474,515,41,289,292,135,138,50,85,150,188,139,104,124
"b/brussni01","Nicolas Brussino",521,150,148,-2,46,46,95,87,9,15,11,18,35,28,22
"b/bullore01","Reggie Bullock",467,130,141,11,55,52,73,84,2,5,29,38,26,14,7
"b/burketr01","Trey Burke",703,266,285,19,184,170,70,93,12,22,32,34,152,136,29
"b/burksal01","Alec Burks",653,280,283,3,172,148,76,75,32,60,55,46,117,102,78
"b/butleji01","Jimmy Butler",2809,1545,1791,246,1004,958,248,273,293,560,323,404,681,554,676
"c/caldejo01","Jose Calderon",539,138,138,0,70,70,64,60,4,8,18,28,52,42,12
"c/caldejo01","Jose Calderon",292,138,138,0,70,70,64,60,4,8,18,28,52,42,12
"c/caldejo01","Jose Calderon",247,138,138,0,70,70,64,60,4,8,18,28,52,42,12
"c/caldwke01","Kentavious Caldwell-Pope",2529,996,1035,39,491,434,437,459,68,142,131,166,360,268,185
"c/canaais01","Isaiah Canaan",592,187,180,-7,79,76,94,75,14,29,21,22,58,54,33
"c/capelca01","Clint Capela",1551,639,818,179,562,724,0,0,77,94,411,600,151,124,177
"c/carrode01","DeMarre Carroll",1882,604,638,34,230,222,320,327,54,89,81,104,149,118,117
"c/cartevi01","Vince Carter",1799,543,584,41,194,162,296,336,53,86,78,78,116,84,115
"c/cartemi01","Michael Carter-Williams",846,338,297,-41,242,194,64,45,32,58,67,72,175,122,77
"c/casspom01","Omri Casspi",643,178,186,8,122,124,43,45,13,17,62,76,60,48,29
"c/casspom01","Omri Casspi",397,178,186,8,122,124,43,45,13,17,62,76,60,48,29
"c/casspom01","Omri Casspi",222,178,186,8,122,124,43,45,13,17,62,76,60,48,29
"c/caulewi01","Willie Cauley-Stein",1421,548,611,63,479,510,2,0,67,101,182,266,297,244,151
"c/chandty01","Tyson Chandler",1298,284,397,113,228,306,0,0,56,91,203,290,25,16,124
"c/chandwi01","Wilson Chandler",2197,1017,1117,100,613,646,326,330,78,141,226,314,387,332,194
"c/chrisma01","Marquese Chriss",1743,713,753,40,408,424,224,216,81,113,246,312,162,112,181
"c/chrisra01","Rakeem Christmas",219,56,59,3,42,38,0,0,14,21,27,30,15,8,29
"c/chrisse01","Semaj Christon",973,238,183,-55,161,130,63,36,14,17,59,56,102,74,31
"c/clarkia01","Ian Clark",1137,458,527,69,270,300,163,183,25,44,91,124,179,176,58
"c/clarkjo01","Jordan Clarkson",2397,1133,1194,61,712,718,356,351,65,125,234,302,478,416,168
"c/coleno01","Norris Cole",125,57,43,-14,39,26,13,9,5,8,9,6,30,20,10
"c/collida01","Darren Collison",2063,778,877,99,540,534,174,219,64,124,126,160,414,374,171
"c/collini01","Nick Collison",128,26,33,7,22,28,1,0,3,5,13,20,9,8,8
"c/conlemi01","Mike Conley",2292,1152,1392,240,590,586,419,513,143,293,174,214,416,372,368
"c/connapa01","Pat Connaughton",316,75,98,23,39,40,33,51,3,7,26,36,13,4,9
"c/cookqu01","Quinn Cook",188,67,79,12,39,44,26,33,2,2,10,10,29,34,5
"c/cookqu01","Quinn Cook",111,67,79,12,39,44,26,33,2,2,10,10,29,34,5
"c/couside01","DeMarcus Cousins",2465,1713,1928,215,1067,1032,364,393,282,503,406,508,661,524,670
"c/couside01","DeMarcus Cousins",1891,1713,1928,215,1067,1032,364,393,282,503,406,508,661,524,670
"c/couside01","DeMarcus Cousins",574,1713,1928,215,1067,1032,364,393,282,503,406,508,661,524,670
"c/covinro01","Robert Covington",2119,811,859,48,320,310,413,411,78,138,188,230,132,80,174
"c/crabbal01","Allen Crabbe",2254,698,845,147,346,338,301,402,51,105,91,122,255,216,124
"c/crawfja01","Jamal Crawford",2157,952,997,45,550,486,320,348,82,163,67,74,483,412,203
"c/crawfjo02","Jordan Crawford",442,226,264,38,123,136,95,111,8,17,20,36,103,100,26
"c/crowdja01","Jae Crowder",2335,815,996,181,326,352,394,471,95,173,142,210,184,142,217
"c/cunnida01","Dante Cunningham",1649,372,435,63,178,206,182,213,12,16,92,126,86,80,27
"c/curryse01","Seth Curry",2029,737,890,153,381,402,320,411,36,77,75,104,306,298,100
"c/curryst01","Stephen Curry",2638,1580,1975,395,654,702,789,972,137,301,266,352,388,350,362
"d/danietr01","Troy Daniels",1183,516,545,29,141,94,355,414,20,37,18,14,123,80,54
"d/davisan02","Anthony Davis",2708,1796,2079,283,1393,1462,134,120,269,497,381,550,1012,912,647
"d/davisde01","Deyonta Davis",238,54,58,4,47,48,0,0,7,10,30,38,17,10,18
"d/davised01","Ed Davis",789,181,200,19,142,150,0,0,39,50,91,106,51,44,81
"d/dedmode01","Dewayne Dedmon",1330,297,387,90,259,322,0,0,38,65,174,244,85,78,93
"d/dekkesa01","Sam Dekker",1419,460,504,44,244,286,186,180,30,38,163,218,81,68,68
"d/delanma01","Malcolm Delaney",1248,426,386,-40,278,238,109,78,39,70,38,30,240,208,93
"d/dellama01","Matthew Dellavedova",1986,570,564,-6,317,258,216,237,37,69,72,62,245,196,96
"d/denglu01","Luol Deng",1486,452,425,-27,261,226,164,153,27,46,111,138,150,88,63
"d/derozde01","DeMar DeRozan",2620,1829,1999,170,1422,1376,123,99,284,524,197,280,1225,1096,647
"d/diallch01","Cheick Diallo",199,86,87,1,75,72,1,0,10,15,21,34,54,38,21
"d/diawbo01","Boris Diaw",1283,342,338,-4,246,252,81,60,15,26,104,146,142,106,35
"d/dienggo01","Gorgui Dieng",2653,735,816,81,618,632,42,48,75,136,209,270,409,362,167
"d/dinwisp01","Spencer Dinwiddie",1334,370,434,64,203,194,101,114,66,126,78,94,125,100,159
"d/douglto01","Toney Douglas",394,128,114,-14,75,72,42,21,11,21,18,18,57,54,29
"d/dragigo01","Goran Dragic",2459,1269,1460,191,836,834,289,351,144,275,272,338,564,496,377
"d/drumman01","Andre Drummond",2409,1066,1103,37,901,960,7,6,158,137,428,596,473,364,355
"d/dudleja01","Jared Dudley",1362,375,434,59,143,160,203,231,29,43,43,62,100,98,65
"d/dunlemi02","Mike Dunleavy",841,239,273,34,86,80,134,159,19,34,43,56,43,24,45
"d/dunlemi02","Mike Dunleavy",366,239,273,34,86,80,134,159,19,34,43,56,43,24,45
"d/dunlemi02","Mike Dunleavy",475,239,273,34,86,80,134,159,19,34,43,56,43,24,45
"d/dunnkr01","Kris Dunn",1333,340,293,-47,240,194,73,63,27,36,69,74,171,120,59
"d/duranke01","Kevin Durant",2070,1188,1553,365,714,868,312,351,162,334,257,418,457,450,384
"e/ellenhe01","Henry Ellenson",146,66,60,-6,30,26,34,30,2,4,14,18,16,8,8
"e/ellinwa01","Wayne Ellington",1500,568,638,70,161,164,394,447,13,27,25,42,136,122,43
"e/ellismo01","Monta Ellis",1998,612,628,16,422,408,135,129,55,91,133,170,289,238,128
"e/embiijo01","Joel Embiid",786,540,625,85,331,328,98,108,111,189,123,166,208,162,244
"e/ennisja01","James Ennis",1501,371,429,58,184,190,137,153,50,86,122,146,62,44,110
"e/ennisty01","Tyler Ennis",588,217,225,8,138,126,70,81,9,18,57,68,81,58,25
"e/ennisty01","Tyler Ennis",196,217,225,8,138,126,70,81,9,18,57,68,81,58,25
"e/ennisty01","Tyler Ennis",392,217,225,8,138,126,70,81,9,18,57,68,81,58,25
"e/evansty01","Tyreke Evans",788,407,411,4,252,216,118,126,37,69,121,122,131,94,92
"e/evansty01","Tyreke Evans",474,407,411,4,252,216,118,126,37,69,121,122,131,94,92
"e/evansty01","Tyreke Evans",314,407,411,4,252,216,118,126,37,69,121,122,131,94,92
"e/exumda01","Dante Exum",1228,396,412,16,215,222,149,132,32,58,133,148,82,74,73
"f/farieke01","Kenneth Faried",1296,500,587,87,410,456,6,0,84,131,236,322,174,134,189
"f/favorde01","Derrick Favors",1186,466,476,10,407,400,10,9,49,67,154,196,253,204,109
"f/feldeka01","Kay Felder",386,182,166,-16,136,110,22,21,24,35,52,54,84,56,49
"f/feliccr01","Cristiano Felicio",1040,264,316,52,222,256,0,0,42,60,152,204,70,52,93
"f/feltora01","Raymond Felton",1700,543,538,-5,370,350,144,138,29,50,124,150,246,200,64
"f/ferreyo01","Yogi Ferrell",1197,434,462,28,217,184,177,204,40,74,63,60,154,124,89
"f/ferreyo01","Yogi Ferrell",151,434,462,28,217,184,177,204,40,74,63,60,154,124,89
"f/ferreyo01","Yogi Ferrell",1046,434,462,28,217,184,177,204,40,74,63,60,154,124,89
"f/finnedo01","Dorian Finney-Smith",1642,363,350,-13,143,136,191,168,29,46,85,104,58,32,61
"f/forbebr01","Bryn Forbes",285,101,93,-8,46,38,53,51,2,4,2,0,44,38,6
"f/fournev01","Evan Fournier",2234,1041,1155,114,569,560,359,384,113,211,211,260,358,300,277
"f/foyera01","Randy Foye",1284,352,351,-1,122,102,203,201,27,48,46,46,76,56,63
"f/fraziti01","Tim Frazier",1525,464,464,0,276,246,128,120,60,98,106,122,170,124,129
"f/fryech01","Channing Frye",1398,554,676,122,187,202,334,411,33,63,65,82,122,120,74
"g/gallida01","Danilo Gallinari",2134,919,1128,209,425,418,325,378,169,332,141,198,284,220,387
"g/gallola01","Langston Galloway",1495,569,582,13,238,174,307,360,24,48,43,48,195,126,64
"g/gallola01","Langston Galloway",1120,569,582,13,238,174,307,360,24,48,43,48,195,126,64
"g/gallola01","Langston Galloway",375,569,582,13,238,174,307,360,24,48,43,48,195,126,64
"g/gasolma01","Marc Gasol",2531,1299,1433,134,892,856,268,312,139,265,133,180,759,676,332
"g/gasolpa01","Pau Gasol",1627,688,792,104,500,494,104,168,84,130,129,162,371,332,184
"g/gayru01","Rudy Gay",1013,498,556,58,329,318,113,126,56,112,92,134,237,184,138
"g/georgpa01","Paul George",2689,1501,1754,253,854,854,496,585,151,315,150,194,704,660,374
"g/gibsojo01","Jonathan Gibson",231,109,106,-3,50,40,45,45,14,21,16,14,34,26,29
"g/gibsota01","Taj Gibson",1989,776,846,70,695,724,13,9,68,113,269,378,426,346,158
"g/gibsota01","Taj Gibson",1502,776,846,70,695,724,13,9,68,113,269,378,426,346,158
"g/gibsota01","Taj Gibson",487,776,846,70,695,724,13,9,68,113,269,378,426,346,158
"g/ginobma01","Manu Ginobili",1291,484,517,33,213,164,226,267,45,86,87,90,126,74,107
"g/goberru01","Rudy Gobert",2744,835,1137,302,622,826,1,0,212,311,500,748,122,78,476
"g/goodwar01","Archie Goodwin",214,85,110,25,51,62,15,15,19,33,36,42,15,20,42
"g/goodwar01","Archie Goodwin",184,85,110,25,51,62,15,15,19,33,36,42,15,20,42
"g/gordoaa01","Aaron Gordon",2298,958,1019,61,597,632,267,231,94,156,284,396,313,236,217
"g/gordoer01","Eric Gordon",2323,1085,1216,131,353,332,661,738,71,146,174,202,179,130,175
"g/gortama01","Marcin Gortat",2556,746,883,137,672,780,2,0,72,103,337,472,335,308,159
"g/grahatr01","Treveon Graham",189,47,57,10,25,20,15,27,7,10,10,10,15,10,15
"g/grantje01","Jerami Grant",1531,398,437,39,212,218,116,129,70,90,110,148,102,70,147
"g/grantje01","Jerami Grant",1490,398,437,39,212,218,116,129,70,90,110,148,102,70,147
"g/grantje02","Jerian Grant",1028,331,369,38,167,158,134,147,30,64,50,66,117,92,73
"g/greenda02","Danny Green",1807,463,497,34,138,116,310,354,15,27,43,50,95,66,32
"g/greendr01","Draymond Green",2471,754,776,22,389,382,264,243,101,151,235,324,154,58,213
"g/greenge01","Gerald Green",538,251,261,10,122,112,111,117,18,32,28,40,94,72,41
"g/greenja01","JaMychal Green",2101,573,689,116,356,390,143,165,74,134,190,238,166,152,167
"g/greenje02","Jeff Green",1534,629,635,6,365,334,193,159,71,142,114,128,251,206,168
"g/griffbl01","Blake Griffin",2076,1161,1316,155,858,882,113,114,190,320,299,422,559,460,421
"h/hamilju01","Justin Hamilton",1177,401,442,41,198,238,181,165,22,39,89,134,109,104,52
"h/hammoaj01","A.J. Hammons",163,52,48,-4,32,24,10,15,10,9,7,8,25,16,20
"h/hardati02","Tim Hardaway",2154,1003,1143,140,495,532,417,447,91,164,247,328,248,204,214
"h/hardeja01","James Harden",2947,1878,2327,449,776,824,756,786,346,717,317,446,459,378,881
"h/harklma01","Maurice Harkless",2223,680,773,93,431,492,194,204,55,77,295,382,136,110,124
"h/harremo01","Montrezl Harrell",1064,388,527,139,338,448,7,3,43,76,214,332,124,116,121
"h/harride01","Devin Harris",1087,398,437,39,164,156,176,174,58,107,78,94,86,62,129
"h/harriga01","Gary Harris",1782,694,851,157,381,426,255,321,58,104,224,294,157,132,134
"h/harrijo01","Joe Harris",1138,385,428,43,141,138,221,255,23,35,80,94,61,44,49
"h/harrito02","Tobias Harris",2567,1157,1311,154,749,804,314,327,94,180,203,296,546,508,226
"h/harrian01","Andrew Harrison",1474,452,425,-27,205,148,156,129,91,148,84,80,121,68,194
"h/hasleud01","Udonis Haslem",130,30,31,1,20,22,3,0,7,9,10,16,10,6,15
"h/hawessp01","Spencer Hawes",797,299,337,38,196,218,81,75,22,44,85,120,111,98,52
"h/hawessp01","Spencer Hawes",626,299,337,38,196,218,81,75,22,44,85,120,111,98,52
"h/hawessp01","Spencer Hawes",171,299,337,38,196,218,81,75,22,44,85,120,111,98,52
"h/haywago01","Gordon Hayward",2516,1327,1581,254,781,792,374,447,172,342,238,338,543,454,429
"h/hendege02","Gerald Henderson",1667,622,658,36,378,346,173,183,71,129,98,132,280,214,165
"h/hensojo01","John Henson",1123,359,392,33,309,318,1,0,49,74,148,190,161,128,107
"h/hernaju01","Juan Hernangomez",842,257,305,48,112,110,111,138,34,57,74,88,38,22,76
"h/hernawi01","Willy Hernangomez",1324,517,587,70,448,484,15,12,54,91,258,336,190,148,125
"h/hezonma01","Mario Hezonja",960,352,317,-35,186,148,144,129,22,40,49,54,137,94,50
"h/hibbero01","Roy Hibbert",682,182,221,39,147,160,0,0,35,61,55,78,92,82,75
"h/hibbero01","Roy Hibbert",671,182,221,39,147,160,0,0,35,61,55,78,92,82,75
"h/hieldbu01","Buddy Hield",1888,796,857,61,388,358,379,444,29,55,129,142,259,216,76
"h/hieldbu01","Buddy Hield",1161,796,857,61,388,358,379,444,29,55,129,142,259,216,76
"h/hieldbu01","Buddy Hield",727,796,857,61,388,358,379,444,29,55,129,142,259,216,76
"h/hilarne01","Nene Hilario",1198,483,609,126,388,484,9,9,86,116,230,342,158,142,197
"h/hillge01","George Hill",1544,683,823,140,371,390,234,282,78,151,114,152,257,238,196
"h/hillso01","Solomon Hill",2374,535,563,28,206,178,270,282,59,103,117,132,89,46,128
"h/hillida01","Darrun Hilliard",381,138,127,-11,80,70,46,36,12,21,16,22,64,48,28
"h/holidjr01","Jrue Holiday",2190,969,1026,57,612,610,281,300,76,116,221,282,391,328,168
"h/holidju01","Justin Holiday",1639,572,628,56,265,272,273,291,34,65,98,132,167,140,80
"h/holliro01","Rondae Hollis-Jefferson",1761,656,675,19,474,440,67,45,115,190,236,280,238,160,253
"h/holmeri01","Richaun Holmes",1193,456,559,103,335,406,77,81,44,72,190,286,145,120,103
"h/hoodro01","Rodney Hood",1593,714,744,30,359,316,306,342,49,86,71,86,288,230,115
"h/horfoal01","Al Horford",2193,856,952,96,558,586,242,258,56,108,159,232,399,354,135
"h/howardw01","Dwight Howard",2199,807,1002,195,612,776,2,0,193,226,440,658,172,118,424
"h/huertma01","Marcelo Huertas",237,76,63,-13,49,42,19,12,8,9,8,10,41,32,17
"h/humphkr01","Kris Humphries",689,254,257,3,161,136,54,57,39,64,76,82,85,54,82
"i/ibakase01","Serge Ibaka",2422,1037,1172,135,665,694,318,372,54,106,127,188,538,506,125
"i/ibakase01","Serge Ibaka",1710,1037,1172,135,665,694,318,372,54,106,127,188,538,506,125
"i/ibakase01","Serge Ibaka",712,1037,1172,135,665,694,318,372,54,106,127,188,538,506,125
"i/iguodan01","Andre Iguodala",1998,461,574,113,237,310,177,192,47,72,143,224,94,86,102
"i/ilyaser01","Ersan Ilyasova",2142,981,1070,89,487,484,402,426,92,160,199,242,288,242,209
"i/ilyaser01","Ersan Ilyasova",1447,981,1070,89,487,484,402,426,92,160,199,242,288,242,209
"i/ilyaser01","Ersan Ilyasova",633,981,1070,89,487,484,402,426,92,160,199,242,288,242,209
"i/inglejo01","Joe Ingles",1972,482,580,98,172,162,279,369,31,49,63,84,109,78,68
"i/ingrabr01","Brandon Ingram",2279,780,740,-40,500,442,187,165,93,133,166,214,334,228,214
"i/irvinky01","Kyrie Irving",2525,1537,1786,249,979,988,441,531,117,267,343,430,636,558,328
"j/jacksre01","Reggie Jackson",1424,737,752,15,493,436,184,198,60,118,146,154,347,282,136
"j/jamesle01","LeBron James",2794,1565,1950,385,1002,1224,342,372,221,354,551,872,451,352,531
"j/jeffeal01","Al Jefferson",931,506,535,29,468,470,1,0,37,65,120,160,348,310,85
"j/jefferi01","Richard Jefferson",1614,389,448,59,157,182,186,186,46,80,97,152,60,30,108
"j/jennibr01","Brandon Jennings",1802,602,577,-25,282,226,252,237,68,114,102,104,180,122,152
"j/jennibr01","Brandon Jennings",1428,602,577,-25,282,226,252,237,68,114,102,104,180,122,152
"j/jennibr01","Brandon Jennings",374,602,577,-25,282,226,252,237,68,114,102,104,180,122,152
"j/jerebjo01","Jonas Jerebko",1232,278,298,20,131,138,130,135,17,25,57,78,74,60,37
"j/johnsam01","Amir Johnson",1608,413,520,107,303,372,66,81,44,67,176,258,127,114,100
"j/johnsja01","James Johnson",2085,860,975,115,514,562,255,261,91,152,238,306,276,256,215
"j/johnsjo02","Joe Johnson",1843,653,704,51,365,334,259,318,29,52,39,58,326,276,77
"j/johnsst04","Stanley Johnson",1371,388,339,-49,211,168,154,135,23,36,40,54,171,114,53
"j/johnsty01","Tyler Johnson",2178,935,995,60,573,528,250,279,112,188,195,244,378,284,254
"j/johnswe01","Wesley Johnson",810,207,186,-21,82,88,118,87,7,11,29,36,53,52,17
"j/jokicni01","Nikola Jokic",2038,955,1221,266,718,898,139,135,98,188,260,360,458,538,228
"j/jonesde02","Derrick Jones",545,139,168,29,109,130,11,9,19,29,74,110,35,20,41
"j/jonesja02","James Jones",381,100,132,32,26,26,66,93,8,13,6,8,20,18,20
"j/joneste01","Terrence Jones",1270,562,584,22,415,424,75,57,72,103,170,238,245,186,170
"j/joneste01","Terrence Jones",1264,562,584,22,415,424,75,57,72,103,170,238,245,186,170
"j/jonesty01","Tyus Jones",774,199,208,9,108,98,73,78,18,32,34,40,74,58,43
"j/jordade01","DeAndre Jordan",2570,772,1029,257,575,824,2,0,195,205,479,740,96,84,425
"j/josepco01","Cory Joseph",2003,713,739,26,526,502,134,144,53,93,123,154,403,348,122
"k/kaminfr01","Frank Kaminsky",1954,870,874,4,447,408,355,348,68,118,161,196,286,212,156
"k/kanteen01","Enes Kanter",1533,864,1033,169,699,794,38,15,127,224,400,524,299,270,285
"k/kellyry01","Ryan Kelly",110,31,25,-6,18,8,10,12,3,5,5,4,13,4,6
"k/kiddgmi01","Michael Kidd-Gilchrist",2349,704,743,39,608,588,9,3,87,152,267,354,341,234,194
"k/kilpase01","Sean Kilpatrick",1754,838,909,71,426,398,308,315,104,196,167,196,259,202,242
"k/knighbr03","Brandon Knight",1140,594,595,1,385,328,139,135,70,132,108,126,277,202,154
"k/korveky01","Kyle Korver",1753,525,668,143,156,154,357,486,12,28,21,28,135,126,42
"k/korveky01","Kyle Korver",894,525,668,143,156,154,357,486,12,28,21,28,135,126,42
"k/korveky01","Kyle Korver",859,525,668,143,156,154,357,486,12,28,21,28,135,126,42
"k/koufoko01","Kosta Koufos",1419,418,470,52,391,432,1,0,26,38,142,202,249,230,62
"k/kuzmimi01","Mindaugas Kuzminskas",1016,398,425,27,200,208,168,162,30,55,123,156,77,52,68
"l/labissk01","Skal Labissiere",612,251,289,38,209,228,8,9,34,52,56,80,153,148,74
"l/lambje01","Jeremy Lamb",1143,542,597,55,345,370,147,123,50,104,107,146,238,224,129
"l/laproni01","Nicolas Laprovittola",174,51,59,8,21,20,26,30,4,9,11,12,10,8,9
"l/lauvejo01","Joffrey Lauvergne",980,368,375,7,237,230,98,99,33,46,119,142,118,88,73
"l/lauvejo01","Joffrey Lauvergne",739,368,375,7,237,230,98,99,33,46,119,142,118,88,73
"l/lauvejo01","Joffrey Lauvergne",241,368,375,7,237,230,98,99,33,46,119,142,118,88,73
"l/lavinza01","Zach LaVine",1749,766,879,113,400,412,309,360,57,107,180,240,220,172,140
"l/lawsoty01","Ty Lawson",1732,619,681,62,403,406,119,102,97,173,112,142,291,264,217
